,username,comment,datentime
0,庄见愁说2021,科普 | 狗狗币究竟是何方神圣？自问世起，币值累计涨幅1923倍，引起无数人的关注，那你看好它未来的发展吗？#财经##狗狗币# L庄见愁说2021的微博视频,06月20日 08:35  来自 进群请私信iPhone客户端
1,庄见愁说2021,科普 | 狗狗币究竟是何方神圣？自问世起，币值累计涨幅1923倍，引起无数人的关注，那你看好它未来的发展吗？#财经##狗狗币# L庄见愁说2021的微博视频,06月16日 09:59  来自 微博视频号
2,NFT毒奶,偣饭繁疑衩啬凶哟橙肼醢⒚芮块链大会 大喊 狗狗币to the moon L比特币毒奶的微博视频,06月06日 19:06  来自 狗狗币超话
3,币圈萝莉大可爱,偣饭繁 狗币冲上0.8在场每人三百块，有一个算一个，立贴为证,06月16日 08:43  来自 狗狗币超话
4,王秋寓科技,"#灰度 狗狗币# （附火币注册地址） O网页链接

生命，就像一场永无休止的苦役，不要惧怕和拒绝困苦，超越困苦，就是生活的强者。任何经历都是一种累积，累积的越多，人就越成熟；经历的越多，生命就越有厚度。#狗狗币值得长期持有吗#",06月07日 12:00  来自 HUAWEI nova 2s
5,庄见愁说2021,科普 | #财经##什么是狗狗币# 人生，只有你自己想努力，才能真正的努力，这是任何人都无法用逼迫让你达到的目的，它只能是出由你自己内心的意愿。L庄见愁说2021的微博视频,06月08日 10:08  来自 微博视频号
6,币老总,偣饭繁褼OGE涨到1$，评论区随机100人，每人一万,06月04日 18:40  来自 狗狗币超话
7,NFT毒奶,偣饭繁易魑一名狗狗币持有者 更是作为一名中国人 坚决抵制Anonymous 一群只会打嘴炮的跳梁小丑 忘记自己如何被中国红客吊打了吗 最后Fuck Anonymous #比特币##以太坊#,06月07日 16:15  来自 狗狗币超话
8,庄见愁说2021,独家见解 | #财经##什么是狗狗币# 人生，只有你自己想努力，才能真正的努力，这是任何人都无法用逼迫让你达到的目的，它只能是出由你自己内心的意愿。L庄见愁说2021的微博视频,06月07日 07:41  来自 微博视频号
9,庄见愁说2021,独家见解 | #财经##什么是狗狗币# 人生，只有你自己想努力，才能真正的努力，这是任何人都无法用逼迫让你达到的目的，它只能是出由你自己内心的意愿。L庄见愁说2021的微博视频,06月04日 13:28  来自 微博视频号
10,庄见愁说2021,独家见解 | #财经##什么是狗狗币# 人生，只有你自己想努力，才能真正的努力，这是任何人都无法用逼迫让你达到的目的，它只能是出由你自己内心的意愿。L庄见愁说2021的微博视频,06月03日 13:11  来自 微博视频号
11,狗狗币教主-战神,好玩，建议收藏转发，用于诋毁猪猪币俻ig 和狗狗币偣饭繁 的人！ L狗狗币教主-战神的微博视频,06月04日 13:51  来自 微博视频号
12,王秋寓科技,"#狗狗币# （附币安注册地址） O网页链接

世界上的事情，最忌讳的就是个十全十美，你看那天上的月亮，一旦圆满了，马上就要亏厌；树上的果子，一旦熟透了，马上就要坠落。凡事总要稍留欠缺，才能持恒。#狗狗币大涨#",06月07日 11:59  来自 HUAWEI nova 2s
13,庄见愁说2021,独家见解 | #财经##如何看狗狗币# 我们会遇上顺境，也是会遇上逆境。在所有的成功的路上折磨你的，背后都隐藏着激励你奋发向上的动机走。L庄见愁聊2021的微博视频,06月10日 12:32  来自 微博视频号
14,庄见愁说2021,独家见解 | #财经##如何看狗狗币# 我们会遇上顺境，也是会遇上逆境。在所有的成功的路上折磨你的，背后都隐藏着激励你奋发向上的动机走。L庄见愁聊2021的微博视频,06月15日 09:08  来自 微博视频号
15,淘宗主_马喆明,"技术型交易派挑战币圈一年20倍的第二周（新手只能开满五倍杠杆）
#比特币##狗狗币# L淘宗主_马喆明的微博视频",06月13日 00:38  来自 微博视频号
16,淘宗主_马喆明,"#比特币##狗狗币#
初入币圈，瞎琢磨学会买币到学会开满只能五倍杠杆认真倒腾了半月，定个小目标一年五到十倍行不行",06月09日 12:02  来自 HUAWEI Mate 40 Pro
17,空投司令,"俬tmoon偣饭繁摇究胀断钅浚篽tmoon/BAN】
【空投人数：前200人】
【空投数量：每人666666币】
【空投日期：截止至6月10日】
【关注@电竞黑铁搬运工+ 转发+评论留heco火币生态链地址+评论】

合约地址：0x7508D3b5ACBE551b45E469dC0F5c052415286f51

备注：空投由BANANACOIN志愿者提供 提供，我是家人们搬运工，搬运投放空投，@香蕉币 @香蕉?? 币 感谢关注！@电竞搬运黑铁工 @电影老源工 @DOGE上月球 @比特币平哥 @比特币军 @比特币预言帝 @比特财经网官方 @币圈六六呀 @狗狗币教主-战神 @比特币军

大家安安静静撸空投不香吗，你留地址，我立刻给你投放 收起d",06月09日 12:00  来自 htmoon超话
18,新浪科技,#Coinbase推出狗狗币交易#【Coinbase Pro：狗狗币订单目前处于完全交易模式】全球最大的加密货币交易平台之一Coinbase从周二开始向Pro版用户提供狗狗币的交易服务。目前Coinbase Pro平台上，狗狗币订单目前处于完全交易模式；限价单、市价单和止损单现已全部可用。OCoinbase Pro：狗狗币订单目前处于完全交易模式,06月04日 01:05  来自 微博 weibo.com
